"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"County","Williamson",,"TX","Austin, TX","Austin-Round Rock, TX",,5.44237485448196,92.31,,,270200,0.37147102526003,4.44530344027832,0.0269726128793486,,,,53
"County","Bartholomew",,"IN","Columbus, IN","Columbus, IN",,4.73806752037253,,,,141600,0.354358610914245,5.67164179104478,0.0200141242937852,,0.0689128481581312,0.015645371577575,53
"County","Buena Vista",,"IA","Storm Lake, IA","Storm Lake, IA",,5.56461001164144,,,,107300,0.468164794007491,10.9617373319545,0.0217614165890028,,0.0804794520547945,0.049645390070922,
"County","Carson City",,"NV","Carson City, NV","Carson City, NV",,9.54598370197905,90.91,2.6128,0.6889,293100,0.929752066115702,10.5203619909502,0.0731525076765609,,0.0677832512315271,0.0116279069767442,51
"County","Cerro Gordo",,"IA","Mason City, IA","Mason City, IA",,4.28987194412107,100,,2.3149,103500,0.583090379008746,1.66994106090373,0.000685990338164189,,0.143352601156069,0.0149769585253456,77
"County","Clear Creek",,"CO","Denver, CO","Denver-Aurora-Lakewood, CO",,9.67403958090803,100,,,341600,0.618556701030928,12.1102723990811,0.122523419203747,,0.0616216216216216,0.0175438596491228,51.5
"County","Grand Forks",,"ND","Grand Forks, ND","Grand Forks, ND-MN",,6.9848661233993,95.65,,,189000,0,6.23946037099494,0.0591587301587302,,,,61.5
"County","Hot Springs",,"WY",,,,4.53434225844005,,,,150000,0.066711140760507,7.99136069114471,0.05758,,0.135761589403974,0.024390243902439,
"County","King George",,"VA",,,,0.162980209545984,84.62,8.3496,2.9842,267100,0.0749344323716748,3.92996108949416,0.0136727817296893,,0.150147730325007,0.0286225402504472,63
"County","Koochiching",,"MN",,,,6.56577415599534,100,,,82200,0.611995104039168,-7.11864406779661,0.02330900243309,,0.101217656012177,0.0150375939849624,
"County","Leavenworth",,"KS","Kansas City, MO","Kansas City, MO-KS",,7.9918509895227,,,,169800,0.354609929078014,3.98040416411513,0.0610659599528858,,0.0765792259734149,0.010752688172043,65
"County","Los Angeles",,"CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",,8.0093131548312,95.9,3.8212,1.0078,606900,0.115473441108545,6.75461741424802,0.0575580820563519,,0.0488374909777633,0.0228267746425408,57
"County","Mecklenburg",,"NC","Charlotte, NC","Charlotte-Concord-Gastonia, NC-SC",,5.80908032596042,90.54,5.749,1.6886,229600,0.34965034965035,10.7573564881814,0.0308493031358885,,0.0721650193145732,0.0212401181064863,53
