"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07"
"California",1,210.445344129555,214.233024991339,215.772953178132,218.75,219.750030558611,219.922380336352,217.3273657289,216.221718025064,210.84217299649,206.751054852321,202.504317789292,195.088186076818,191.964285714286,190.380952380952,191.4555187999,191.097760786455,194.71488178025,193.570214548123,191.143911439114,190.157199501275,188.19503849444,186.380597014925,181.671858774663,178.443808983872,177.350927292434,179.126794258373,179.622124311154,183.663086489542,186.721991701245,190.614986254728,193.77990430622,196.011004126547,196.566791510612,197.645776013554,198.606811145511,195.3125,198.11965817755,210.336538461538,218.586005830904,228.558989986939,240.192577392903,245.209961685824,250,249.229188078109,250.467601870407,248.641304347826,242.857142857143,238.489071265698,235.827218026318,241.400745959387,249.230769230769,255.737704918033,260.406342913776,261.677852348993,261.291526689063,259.365407541608,255.220417633411,252.945340603454,251.959686450168,238.834349177287,242.830938474813,246.539961013645,251.116071428571,255.524861878453,261.111111111111,265.625,262.077432775164,267.197121645925,267.930750206101,267.120710803261,265.276724791509,262.573964497041,262.073027090695,268.518518518519,275.103926901818,281.731909845789,285.601605313072,289.328703703704,290.54184156909,288.657712813555,289.085545722714,288.567916410572,285.487708168121,279.759517831116,281.378069333239,287.294923873608,296.687701279816,302.615193026152,302.513104212261,303.571428571429,302.84936074627,301.736333982146,302.497948703139,303.085299455535,301.346801346801,295.736643281166,295.667069534195,302.954065976218,309.684684684685,314.255958485788,316.463414634146,319.488178913738,319.44892676016
"Texas",2,85.4824038927792,85.9078590785908,86.3719022128051,86.6704294478528,86.6283182729574,86.3721618953603,85.6785714285714,85.2771507399047,85.1479620323841,84.8026558465511,84.6114124645484,83.6482748441956,83.1330868761553,83.0536912751678,83.50304584506,83.6127911941203,84.1340144230769,84.1463414634146,83.8624338624339,83.4531539888683,82.8197354139161,83.0649852401301,82.9127613554434,82.9513550566106,83.1185031185031,83.5992868897422,84.1167551175133,85.1063829787234,85.6507418271427,85.9142204415568,85.3379024078515,85.4082756352156,85.2179201649255,85.2734570998495,85.4859335038363,85.939249379419,86.1229858599145,87.8217200251099,89.1207155939379,90.0140213123948,90.948275862069,91.7132522196646,92.0190768583445,91.9763295914612,92.3970432946146,93.2952750134371,92.9368029739777,93.3446837241125,93.960396039604,95.3137410643368,96.579476861167,98.0872420853467,99.1336217255467,98.3602883771138,98.6739315267992,100.148920327625,100.39001996008,100.582039911308,101.621554450972,102.90053483722,104.355662735144,105.211963889275,106.316139417693,108.036935704514,107.891183723798,107.886619686189,108.68700265252,109.042927515834,109.658187599364,110.066610929186,110.196608080789,111.374318253429,111.584089323098,110.624431279636,112.14953271028,112.788708267322,113.59263209836,113.91489363911,114.199814986124,114.246789309268,114.176974310181,115.009746588694,114.418665963617,114.622848494961,114.967462039046,116.108967359758,117.602905569007,119.018415601398,119.875959834613,120.131578947368,119.76802824004,119.442231075697,119.419131242052,119.725557461407,119.793999104344,120.045339825602,120.619946091644,121.653084982538,122.859303109977,124.309392265193,124.922466518259,124.964255075779,124.944145635085
"New York",3,179.557157569516,174.948240165631,176.946902654867,175.767279911983,185.940820431087,187.022900763359,187.509848723605,183.836485152275,187.130675643259,186.6,187.028601761438,185.157894736842,184.640522875817,176.424361493124,185.416666666667,184.317343173432,180.452836637047,178.125,176.153846153846,174.561403508772,173.465977300011,173.418423973363,172.892495066208,173.820572312452,172.5,175,173.708920187793,175.45871559633,174.29509082668,170.810592278148,169.117647058824,167.420814479638,171.597633136095,173.659304511278,171.004942339374,175.465838509317,177.036909718244,179.025423728814,180.8,176.44084934277,173.076923076923,167.053443354891,163.208577078355,160.265528686581,159.96426975616,162.6299830594,168.373976852216,170.022815464214,174.5,179.995,179.615047986308,179.693937265918,180.642777983007,184.102564102564,178.426884139483,177.387096774194,176.518472906404,178.255813953488,178.082191780822,180,182.777777777778,181.612548156302,181.818181818182,180.521018354056,178.478739590006,176.42015665812,173.984806552365,170.343137254902,169.850704510214,172.437212064431,173.524305555556,173.677884615385,181.873479318735,185.144083107498,181.212121212121,187.222222222222,181.876196553925,180.894308943089,169.900849858357,168.329919981958,168.429237947123,168.841970569418,173.157162726008,171.908660060319,177.053824362606,185.118759088706,187.475840742172,186.349520045172,183.441558441558,179.193341869398,177.997985901309,175.303197353914,178.178916494134,179.30828246164,180.714262834202,182.966585167074,188.926794310292,184.823399558499,176.041110814657,180.28692879915,183.921307816479,183.254535327817,180.386012292792
"Florida",4,120.958373668925,119.730117635538,118.203309692671,116.74222826454,115.834191555098,113.341968911917,111.642743221691,110.340486860352,108.670303126825,107.28860099681,107.429906542056,105.455379100496,104.312354312354,105.058365758755,104.411764705882,102.46849393889,103.761348897536,103.608445297505,103.578154425612,103.680981595092,104.429983020096,105.045268593656,103.947368421053,104.361179361179,103.863259876902,104.385049261986,104.775828460039,103.516483516484,102.720677146312,103.246593544183,104.024284596367,104.10094637224,104.083266613291,102.901263453439,104.640582347589,106.183623380304,108.055709189715,109.374618437118,111.111111111111,112.818336162988,113.001745200698,113.568913896345,113.650030066146,113.541666666667,113.947368421053,114.454129687292,116.959064327485,116.635972989564,117.245873153779,118.530225207428,119.283746556474,119.986287281454,118.657337367625,117.701641684511,120.585919206384,120.601173020528,121.049092131809,121.511627906977,122.971285892634,124.223015616462,125.419463087248,126.416779166381,124.421296296296,125.160462130937,127.727564476602,127.936393205638,127.545551982851,130.187439923102,131.217847454815,133.264462809917,135.918003565062,137.15710723192,137.77140804627,141.614398103951,143.390804597701,144.673815583633,143.891871129723,144.08180069586,143.71875,143.125588512241,145.587421283546,147.286821705426,148.65671641791,149.933333333333,154.368791557507,155.687742669511,156.022044179013,156.962457337884,157.207509227708,156.985871271586,156.988082198435,156.984039900249,157.611459424984,158.02781289507,159.404888416578,161.225148123766,162.4193414096,163.141015546177,163.970588235294,165.164414414414,165.289256198347,165.127998755482,164.650048595067
"Illinois",5,136.041009463722,135.641419525748,136.125,135.905977919742,134.615384615385,133.547008547009,130,129.229514030863,125.978146114865,125.682765686829,123.757762058195,120.112179487179,117.768595041322,117.23700887199,118.297872340426,119.430408819476,120.04778139465,119.736526946108,118.269230769231,116.293643688451,114.511691884457,111.988549805887,109.34393638171,107.548701298701,106.955628837265,107.333333333333,107.701564380265,108.506944444444,107.932215515314,108.86524822695,106.724683544304,105.58518499708,104.545454545455,103.61036838978,102.777777777778,100.238678590258,100.887867372766,103.032832826722,105.716041794714,108.617201983022,111.044176706827,112.131837307153,111.111111111111,110.632183908046,110.66511997539,109.70642102995,108.375171657869,107.371132534584,106.6,109.536852589641,113.446827006665,116.764018691589,120.092178035291,121.759261165846,121.076233183857,120.591581342435,119.212410501193,118.154496203436,116.883116883117,114.959665074364,114.263199369582,117.304347826087,121.715519712984,124.620637329287,128.758106355383,129.315610789647,128.257933828494,126.775105094512,125.727132296149,125,123.882223818646,121.881685587722,121.630218327317,124.895833333333,128.985831293542,132.494050107104,134.513274336283,134.408602150538,133.534602879703,131.684724314587,131.390977443609,130.773606370876,129.502252252252,126.677281430519,126.746939869503,130.344007975587,134.613886042258,137.395459976105,139.655172413793,140.625,139.608013937282,137.968595907298,137.263111502865,136.476426799007,135.114447527684,132.728866724973,133.238797504254,137.442390858941,143.171806167401,147.466741951061,148.424396336155,149.158877770004,149.222430955928
"Pennsylvania",6,121.658112074261,121.824995443776,123.358195492895,122.765972266829,122.126133727062,121.603643632447,120.766773162939,119.687752151694,119.010305684528,118.292682926829,117.372975201356,115.878679750223,115.132753759398,115,115.673211781206,116.529759227128,116.926677067083,116.403628355705,115.4375,114.605543710021,113.194444444444,112.095141700405,111.313868613139,110.220588235294,110.384167502565,110.52758097166,111.650485436893,112.04084928572,111.469894148376,111.607142857143,110.776238189806,109.634146341463,108.578431372549,107.901726427623,107.300342969133,106.25,106.193884294856,108.333333333333,109.963709270323,111.10681483615,113.490853658537,113.849788026495,112.449899598394,110.779275484414,111.183682780852,110.277777777778,109.89010989011,111.041925144748,109.214726353162,108.176816626027,110.714285714286,112.80834914611,113.492049913091,113.565340909091,112.245989304813,111.037037037037,111.196105702364,111.532738095238,111.049107142857,109.706070167531,109.082969432314,109.435261707989,112.155212716223,114.234938672439,115.858798735511,115.335051546392,114.236111111111,112.791669907443,112.592143906021,112.143987612073,111.840143155383,110.268304824938,109.360567672153,110.210930009588,113.28914644645,115.740740740741,116.383254973826,116.397849462366,115.740740740741,114.37908496732,114.322251940576,114.087301587302,113.320707070707,111.882359299839,111.72268907563,113.286713286713,115.446639390979,117.57896639814,120.064935064935,120.553304986471,120.112179487179,119.336569579288,119.45652173913,120.008296730112,119.751552795031,118.243909590063,118.373029498744,120.416362808437,122.942627708978,125.502625125755,127.073565346357,128.570714285714,128.617363344051
"Ohio",7,87.5237266922468,88.3099229723607,88.5727611940299,89.2380867709815,88.6002168329754,88.1615598885794,87.2732943911983,86.8088467614534,86.083576363612,85.4450257459731,84.9521114211968,82.7814569536424,81.3447703375761,81.3353566009105,81.6897570710366,82.4257425742574,83.4931506849315,83.8643034825871,83.2692307692308,82.9820575292273,82.3626373626374,81.610844017094,81.0485668098157,79.7478991596639,79.2989417989418,79.8767616886645,80.6451612903226,81.4274632281409,82.294802998046,82.5025960539979,82.201646090535,81.7470467930063,80.9462086843811,80.3212851405623,79.9501424501425,78.4432032585561,78.0815972222222,78.7842955513742,80.3218962870575,81.5154819734972,83.2066869300912,83.4822759604736,83.3333333333333,82.7700463883367,82.4652777777778,82.3299423879514,81.8181818181818,80.4806161049565,80.5582944191518,81.8392857142857,83.6860670194004,85.4618015963512,86.8708471760797,87.8610297195479,87.4779530473788,86.853396809846,86.2767805442965,85.6761016392506,84.6871356393315,83.59375,83.8619402985075,85.1491174680463,86.6709183673469,88.2936507936508,89.2857142857143,89.762011674899,89.6739130434783,88.9678872802761,88.5591511298102,87.7123442808607,87.079704292474,85.7348703170029,86.1350574712644,87.1511627906977,89.0883977900553,91.4714494875549,92.867606086128,93.6554460770851,93.75,93.0065985903549,92.5925925925926,92.1828908554572,91.2987770724421,89.9024024024024,89.98998998999,91.6516276108986,94.3621313510567,96.3235294117647,98.5435973860782,99.2621946570705,99.3506493506493,99.1402116402116,98.6634264884569,98.3796296296296,97.4349575156027,96.3235294117647,96.832035431666,98.1199366419906,100.261665939817,102.799490229397,104.678770949721,106.103619588361,106.1875
"Michigan",8,86.8725868725869,86.9176737802932,86.6086956521739,86.9275362318841,86.5171662200837,85.0691033617114,83.756345177665,82.8838174273859,81.7757009345794,81.2087114198308,79.9,77.0857142857143,75.8035714285714,75.8150113722517,75.9268664296597,75.781990521327,78.5714285714286,79.5029337255443,79.3689679039998,79.4117647058823,78.7213080389896,77.7575493072252,76.6447368421053,74.9819754866619,74.3797925124042,73.8130459284305,76.0144927536232,77.2988505747126,78.0570652173913,79.2967370826378,79.9272727272727,79.2511013215859,79.3018983466013,78.3178765590022,78.2323232323232,77.3871708019166,77.5954167217844,78.8489490161002,81.597916174125,85.5018587360595,89.0684547250895,91.8742586002373,92.4886059670782,92.1967634429645,92.4005031858937,91.3467397928093,90.6412642543544,89.8513251454428,89.8722195929957,90.5992452111192,92.8749005280003,96.8125,99.9499498997996,101.144472255218,101.67120804788,100.975439848442,100.603621730382,99.512706480305,97.4011911207363,95.843989769821,95.9490740740741,97.5867217904804,100.202429149798,103.62962962963,105.531364411838,106.69286489309,106.637848045024,105.851063829787,105.143798369321,104.091827020394,103.876722066141,102.077922077922,101.785714285714,102.389078498294,105.448154657294,108.967615237974,112.071240105541,113.272903852379,113.14207748962,112.901457196205,112.099358974359,111.593984640038,111.010101010101,109.519934958517,109.411764705882,111.111111111111,114.479166666667,117.627003068531,120.620689655172,122.177601994024,122.043086220023,122.148148148148,122,120.791361243896,119.731800766284,118.622448979592,118.353067814855,120.323002831806,123.195422535211,126.199494949495,128.085485307213,130.004336513443,130.605048853034
"Georgia",9,94.5650304362782,94.5408398905234,94.6842105263158,95.0098489822718,93.9367080811857,92.7171830601014,91.9087700244366,90.6716417910448,90.1480111008326,89.6248263084761,88.1866565329988,85.9755449171838,84.4049664070851,83.6120401337793,83.5810727457186,82.4175824175824,83.0216106965174,82.9163188647746,82.391117003646,81.7774458551158,81.6014389915093,80.8487911732579,79.4531542030388,78.5092879716757,78.1139572317348,78.9724072312084,78.8208541780995,78.0916378976392,78.9607743250127,81.033262561925,79.9542682926829,79.8611111111111,80.665770006725,81.4152070223026,81.7622950819672,81.9987514400545,82.3529411764706,83.8250323796067,84.7555310442446,86.1129654353954,87.378640776699,88.1511275396234,88.5539839171069,88.1852230166837,88.588110403397,88.4643012592417,87.9854368932039,87.1546620457612,87.3362445414847,88.3709016393443,89.5878794320395,91.3853317811409,92.5126191811554,92.5695461200586,92.3423423423423,92.2069825436409,92.087312414734,91.5809324216573,91.1247292266432,90.7871978209057,90.6821435473491,91.6666666666667,92.4991397109429,93.1751379779912,94.3396226415094,94.9162011173184,94.354578582139,94.4897983664591,94.2498095963442,94.2020409913386,94.0233236151604,93.6123348017621,93.6435868331442,94.8275862068966,96.8351440717997,98.7404684522207,100.15063657565,100.488167216474,100.671673120543,100.578638567071,100.375258262381,100.873846711595,100.381884654738,99.9185665592382,99.9407758365413,101.404682274247,103.623895153916,105.723172628305,106.965065502183,107.901726427623,108.336393683437,108.072677092916,108.405829957034,108.651286601597,108.183856502242,108.157894736842,108.8909539215,109.989149068204,112.015318334131,114.211005223502,115.625,116.294261056194,116.666666666667
"North Carolina",10,111.209115751716,110.964315997739,111.111111111111,111.081625718002,110.059411295153,109.618441971383,109.045454545455,107.368967306694,106.564080704746,106.819672131148,106.707317073171,105.218855218855,104.097222222222,103.699551569507,104.375932371954,104.298831385643,104.866997953815,104.667539267016,104.545454545455,104.340659340659,104.032258064516,103.435915465838,102.948525737131,102.390243902439,101.927503867591,101.714550509731,102.753770626447,103.197868087941,102.697495183044,102.439087871984,101.858925147675,102.083333333333,101.696832579186,101.696448854043,101.180836707152,100.865384615385,100.439698492462,101.251489868892,102.504038772213,103.608698125621,104.162212200517,105.124605124605,104.340613476674,104.166666666667,104.166666666667,103.966142684401,103.320886963459,101.959183673469,101.843765162542,102.280035272284,103.371633313885,104.362416107383,105.304046823717,105.210526315789,104.977664326739,105.263157894737,105.402905345639,105.432489451477,104.95,104.408352668213,104.48606271777,105.706896807611,106.623125803445,108.449477351916,110.517666392769,110.802131928741,110.884284977082,110.769828926905,110.094197700982,110.67335243553,110.294117647059,110.154649817458,111.110574903261,112.64505313535,113.875262789068,115.283267457181,115.928369462771,116.093366093366,116.383451526141,116.298457690704,116.299692954105,116.813870096962,116.122004357298,116.122517670818,115.792682926829,116.957605985037,118.087400398406,120.643431635389,122.044241037376,122.067271352986,122.444444444444,121.907896356854,122.887864823349,123.549856584467,123.611759216052,123.442184888623,123.700767109085,124.505183925623,126.607717041801,127.892089620485,128.205128205128,128.857115624788,128.566149297857
